,month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
,202111,37019,"brunswick, nc",381715.00,-0.016,0.0908,677,-0.0478,-0.3873,52,0.06122449,-0.1875,296,-0.3019,-0.2128,128,4.3333,1,92,-0.3429,-0.6406,1309,-0.0023,0.089,202.7032674,0.0116,0.2039,1913,-0.0299,-0.0634,514806.292,-0.0104,0.0977,1986,-0.0183,-0.1391,1.933530281,0.0882,0.8457,0
,202110,37019,"brunswick, nc",387941.00,0.0111,0.1087,711,-0.0014,-0.3669,49,0.126436782,-0.268656716,424,0.1522,0.0095,24,-0.1429,-0.76,140,-0.1463,-0.3966,1312,-0.0416,-0.0068,200.3857791,-0.0123,0.1896,1972,0.0462,-0.0436,520240.9181,-2.00E-04,0.084,2023,-0.0279,-0.1723,1.845288326,-0.0775,0.669,0
,202109,37019,"brunswick, nc",383685.00,-0.0161,0.0808,712,0.092,-0.3894,43.5,0.011627907,-0.350746269,368,-0.1238,-0.2,28,-0.4615,-0.8056,164,0.025,-0.3167,1369,-0.0256,0.0247,202.8728506,-0.0118,0.2068,1885,-0.0029,-0.0916,520349.8352,-0.0371,0.1031,2081,0.0117,-0.1683,1.922752809,-0.2322,0.777,0
,202108,37019,"brunswick, nc",389945.00,-0.0227,0.0993,652,0.1203,-0.4821,43,0,-0.418918919,420,0.1538,-0.0948,52,0.4444,-0.35,160,0.2903,-0.3939,1405,-0.0014,0.0628,205.2975519,-0.0038,0.2322,1890.5,-0.0045,-0.08,540391.4034,-0.0158,0.1987,2057,0.0342,-0.203,2.154907975,-0.2626,1.1049,0
,202107,37019,"brunswick, nc",399000.00,0.0152,0.113,582,0.0798,-0.591,43,-0.011494253,-0.514124294,364,-0.0714,-0.1727,36,-0.5263,-0.4,124,0.55,-0.5753,1407,-0.0243,0.0782,206.0858315,0.0613,0.2285,1899,-8.00E-04,-0.077,549079.7719,0.0188,0.2443,1989,0.004,-0.2709,2.417525773,-0.2578,1.5004,0
,202106,37019,"brunswick, nc",393015.00,-0.005,0.0785,539,0.0019,-0.6554,43.5,-0.223214286,-0.567164179,392,0.0769,-0.1967,76,-0.1739,0.0556,80,-0.2593,-0.7015,1442,-0.0444,0.1997,194.1776476,0.0064,0.1396,1900.5,-0.0633,-0.081,538934.2457,0.0029,0.2217,1981,-0.0322,-0.2838,2.675324675,-0.1295,1.9068,0
,202105,37019,"brunswick, nc",395000.00,0.0643,0.1127,538,-0.1541,-0.7033,56,0.087378641,-0.416666667,364,0.0341,-0.0619,92,-0.2333,2.2857,108,0.35,-0.6143,1509,0.0314,0.8515,192.9460581,0.0612,0.132,2029,0.0155,0.0064,537402.4903,0.1035,0.2441,2047,-0.0248,-0.2211,2.804832714,0.5045,2.3553,0
,202104,37019,"brunswick, nc",371140.00,0.0465,0.0607,636,-0.108,-0.6633,51.5,-0.088495575,-0.418079096,352,-0.0435,0.3538,120,-0.1176,1.5,80,0.0526,-0.4286,1463,0.0391,0.9664,181.818738,0.0237,0.059,1998,0.0152,0.0091,487016.6551,0.014,0.1414,2099,-0.0104,-0.2028,2.300314465,0.3256,1.9065,0
,202103,37019,"brunswick, nc",354655.00,0.0136,0.0133,713,-0.1154,-0.6165,56.5,-0.256578947,-0.408376963,368,-0.0213,-0.3475,136,-0.0811,1.6154,76,-0.2963,-0.7077,1408,0.0806,0.591,177.6164794,0.0464,0.0426,1968,-0.0257,-0.0172,480309.4364,0.0288,0.1212,2121,0.0057,-0.227,1.974754558,0.3581,1.4987,0
,202102,37019,"brunswick, nc",349900.00,0.0429,0.0026,806,-0.1587,-0.5477,76,-0.012987013,-0.289719626,376,0.2208,-0.1532,148,0.9474,5.1667,108,0.08,-0.686,1303,0.2212,0.5775,169.739896,0.0182,0.0075,2020,0.0181,0.012,466865.0627,0.014,0.1059,2109,0.0415,-0.1913,1.61662531,0.5028,1.1531,0
,202101,37019,"brunswick, nc",335500.00,-0.0273,-0.0129,958,-0.1013,-0.4707,77,0.132352941,-0.280373832,308,0.0132,-0.2667,76,0.7273,1.7143,100,-0.375,-0.6528,1067,-0.0202,0.5902,166.7003639,-0.0072,-0.0115,1984,-0.0134,3.00E-04,460433.1361,-0.0035,0.0963,2025,-0.0603,-0.1838,1.113778706,0.0922,0.7431,0
,202012,37019,"brunswick, nc",344900.00,-0.0144,-3.00E-04,1066,-0.0353,-0.4372,68,0.0625,-0.342995169,304,-0.1915,0.0857,44,-0.3125,2.6667,160,-0.375,-0.1667,1089,-0.094,0.5624,167.9155585,-0.0027,-0.011,2011,-0.0154,0.0063,462031.9817,-0.0149,0.0849,2155,-0.0659,-0.1683,1.021575985,-0.0662,0.6536,0
,202011,37019,"brunswick, nc",349950.00,1.00E-04,1.00E-04,1105,-0.016,-0.4416,64,-0.044776119,-0.346938776,376,-0.1048,-0.1296,64,-0.36,1.2857,256,0.1034,-0.3535,1202,-0.0901,0.5391,168.3775669,-4.00E-04,-0.013,2042.5,-0.0095,0.0212,468998.2179,-0.0227,0.1033,2307,-0.0561,-0.1641,1.087782805,-0.0885,0.6931,0
,202010,37019,"brunswick, nc",349900.00,-0.0144,-0.0088,1123,-0.0369,-0.4354,67,0,-0.33,420,-0.087,-0.0187,100,-0.3056,1.5,232,-0.0333,-0.4082,1321,-0.0112,0.5877,168.4470008,0.002,-0.0102,2062,-0.0063,0.0153,479912.7717,0.0174,0.1189,2444,-0.0232,-0.1336,1.176313446,0.0305,0.758,0
,202009,37019,"brunswick, nc",355000.00,8.00E-04,0.0033,1166,-0.0739,-0.4141,67,-0.094594595,-0.361904762,460,-0.0086,0.1165,144,0.8,1.7692,240,-0.0909,-0.3878,1336,0.0106,0.5535,168.1104137,0.009,-0.0053,2075,0.0097,0.0124,471698.7655,0.0463,0.101,2502,-0.0306,-0.1221,1.145797599,0.0958,0.7136,0
,202008,37019,"brunswick, nc",354715.00,-0.0105,0.0225,1259,-0.1152,-0.3882,74,-0.163841808,-0.274509804,464,0.0545,0.0943,80,0.3333,0.8182,264,-0.0959,-0.3654,1322,0.013,0.4804,166.6060606,-0.0068,-0.0066,2055,-0.0012,0.013,450816.0805,0.0216,0.07,2581,-0.0539,-0.1254,1.050039714,0.133,0.6161,0
,202007,37019,"brunswick, nc",358480.00,-0.0162,0.0431,1423,-0.0902,-0.3281,88.5,-0.119402985,-0.078125,440,-0.0984,0.068,60,-0.1667,1.1429,292,0.0896,-0.3482,1305,0.0857,0.4914,167.7530085,-0.0155,0.0051,2057.5,-0.0051,0.0282,441277.596,4.00E-04,0.0636,2728,-0.0137,-0.0885,0.917076599,0.1485,0.504,0
,202006,37019,"brunswick, nc",364400.00,0.0265,0.0771,1564,-0.1373,-0.2681,100.5,0.046875,0.092391304,488,0.2577,0.1193,72,1.5714,2,268,-0.0429,-0.4174,1202,0.4748,0.3912,170.3896959,-4.00E-04,0.0402,2068,0.0258,0.0361,441118.796,0.0212,0.0782,2766,0.0525,-0.0783,0.768542199,0.319,0.3642,0
,202005,37019,"brunswick, nc",355000.00,0.0146,0.0843,1813,-0.0402,-0.161,96,0.084745763,0.129411765,388,0.4923,-0.1983,28,-0.4167,-0.2222,280,1,-0.3913,815,0.0954,-0.0965,170.4545455,-0.0072,0.0377,2016,0.0182,0.021,431946.0283,0.0123,0.073,2628,-0.0019,-0.142,0.449531164,0.0557,0.0321,0
,202004,37019,"brunswick, nc",349900.00,-3.00E-04,0.096,1889,0.0161,-0.1242,88.5,-0.073298429,0.113207547,260,-0.539,-0.4961,48,-0.0769,-0.3684,140,-0.4615,-0.6277,744,-0.1593,-0.0849,171.6877134,0.0078,0.06,1980,-0.0112,0.0177,426682.6687,-0.0039,0.0793,2633,-0.0405,-0.1135,0.393859185,-0.0822,0.0169,0
,202003,37019,"brunswick, nc",350000.00,0.0029,0.1152,1859,0.0432,-0.0719,95.5,-0.107476636,-0.045,564,0.2703,0.1016,52,1.1667,-0.381,260,-0.2442,-0.2529,885,0.0714,0.1479,170.36699,0.0112,0.0703,2002.5,0.0033,0.0413,428370.325,0.0147,0.0923,2744,0.0521,-0.0108,0.476062399,0.0125,0.0911,0
,202002,37019,"brunswick, nc",349000.00,0.0268,0.1189,1782,-0.0155,-0.0471,107,0,-0.013824885,444,0.0571,-0.112,24,-0.1429,-0.75,344,0.1944,0.1944,826,0.231,0.2292,168.4779676,-0.001,0.0691,1996,0.0063,0.05,422173.1493,0.0052,0.0763,2608,0.0512,0.026,0.46352413,0.0928,0.1042,0
,202001,37019,"brunswick, nc",339900.00,-0.0148,0.0693,1810,-0.0444,0.0243,107,0.033816425,-0.186311787,420,0.5,0.117,28,1.3333,-0.6111,288,0.5,0.0141,671,-0.0373,0.2357,168.6423655,-0.0067,0.0684,1983.5,-0.0075,0.0374,419969.7421,-0.0138,0.0587,2481,-0.0425,0.074,0.370718232,0.0027,0.0634,0
,201912,37019,"brunswick, nc",345000.00,-0.014,0.0956,1894,-0.043,0.0395,103.5,0.056122449,-0.144628099,280,-0.3519,0.0448,12,-0.5714,-0.8125,192,-0.5152,-0.1724,697,-0.1076,0.1874,169.7794373,-0.0048,0.0814,1998.5,-8.00E-04,0.0387,425857.7121,0.0018,0.0625,2591,-0.0612,0.0756,0.368004224,-0.0266,0.0458,0
,201911,37019,"brunswick, nc",349900.00,-0.0088,0.0954,1979,-0.005,0.0785,98,-0.02,-0.144104803,432,0.0093,0.3333,28,-0.3,-0.3,396,0.0102,0.0879,781,-0.0613,0.196,170.5952381,0.0024,0.0839,2000,-0.0153,0.0267,425105.6451,-0.0088,0.0443,2760,-0.0216,0.1093,0.394643759,-0.0237,0.0388,0
